Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
,,,,,,,,,,,,
Kris Abrams-Draine,CB,Missouri,College Stats,5-11,179,4.44,33.5,,,,,
Isaiah Adams,G,Illinois,College Stats,6-4,315,5.22,24.5,,102,7.77,4.73,
Rasheen Ali,RB,Marshall,College Stats,5-11,206,,,,,,,
Erick All,TE,Iowa,College Stats,6-4,252,,,,,,,
Braelon Allen,RB,Wisconsin,College Stats,6-1,235,,32.0,26,117,,,
Joe Alt,OT,Notre Dame,College Stats,6-9,321,5.05,28.0,,112,7.31,4.51,
Kiran Amegadjie,OT,Yale,,6-5,323,,,,,,,
Daijahn Anthony,SAF,Mississippi,College Stats,6-0,195,4.55,37.0,,116,,,
Terrion Arnold,CB,Alabama,College Stats,6-0,189,4.50,37.0,,129,,,
Gottlieb Ayedze,G,Maryland,College Stats,6-4,308,5.01,26.5,,112,,,
Emani Bailey,RB,TCU,College Stats,5-7,202,4.61,33.5,,116,,,
Javon Baker,WR,Central Florida,College Stats,6-1,202,4.54,37.0,,121,,,
AJ Barner,TE,Michigan,College Stats,6-6,251,,,,,,,
Karsen Barnhart,G,Michigan,College Stats,6-5,306,5.21,29.5,,111,7.83,4.70,
Michael Barrett,LB,Michigan,College Stats,5-11,233,,,,,,,
Graham Barton,C,Duke,College Stats,6-5,313,,,,,,,
Cooper Beebe,G,Kansas St.,College Stats,6-3,322,5.03,27.5,,109,7.44,4.61,
Jaheim Bell,TE,Florida St.,College Stats,6-2,241,4.61,35.0,,124,,,
Trey Benson,RB,Florida St.,College Stats,6-0,216,4.39,33.5,,122,,,
JD Bertrand,LB,Notre Dame,College Stats,6-1,235,,,20,,,,
Tatum Bethune,LB,Florida St.,College Stats,6-0,229,,,16,,,,
Keaton Bills,G,Utah,College Stats,6-5,321,5.38,29.5,,101,7.95,4.90,
Cole Bishop,SAF,Utah,College Stats,6-2,206,4.45,39.0,,124,,,
Austin Booker,EDGE,Kansas,College Stats,6-5,240,4.79,32.5,,120,,,
Tanor Bortolini,C,Wisconsin,,6-4,303,4.94,32.5,,112,7.16,4.28,
Brock Bowers,TE,Georgia,College Stats,6-3,243,,,,,,,
Beau Brade,SAF,Maryland,College Stats,6-0,203,,,,,,,
Millard Bradford,SAF,TCU,,5-11,191,4.42,38.5,15,124,,,
Chris Braswell,EDGE,Alabama,College Stats,6-3,251,4.60,33.5,,115,,,
Jonathon Brooks,RB,Texas,College Stats,6-0,216,,,,,,,
Jarvis Brownlee,CB,Louisville,College Stats,5-10,194,,,,,,,
Javon Bullard,SAF,Georgia,College Stats,5-11,198,4.47,,,,,,
Calen Bullock,SAF,USC,College Stats,6-2,188,4.48,,,,,,
Jermaine Burton,WR,Alabama,College Stats,6-0,196,4.45,38.5,,133,,,
Solomon Byrd,EDGE,USC,College Stats,6-3,255,,,,,,,
Jaylon Carlies,SAF,Missouri,College Stats,6-3,227,4.50,32.5,20,125,,,
Caelen Carson,CB,Wake Forest,College Stats,6-0,199,,,,,,,
DeWayne Carter,DT,Duke,College Stats,6-2,302,4.99,32.0,,109,7.95,4.75,
Aaron Casey,LB,Indiana,College Stats,6-1,231,4.75,30.0,16,117,,,
Nelson Ceaser,EDGE,Houston,College Stats,6-3,254,,31.0,22,,7.30,4.57,
Steele Chambers,LB,Ohio St.,College Stats,6-1,226,,33.5,,112,7.13,4.23,
Javion Cohen,G,Miami,College Stats,6-4,324,,26.5,,104,,,
Andrew Coker,OT,TCU,College Stats,6-7,315,5.36,25.5,,94,7.95,4.93,
Jalen Coker,WR,Holy Cross,,6-1,208,4.57,42.5,,128,,,
Myles Cole,DE,Texas Tech,College Stats,6-6,278,4.67,35.0,,120,,,
Brandon Coleman,G,TCU,College Stats,6-5,313,4.99,34.0,,114,,,
