,,,Fantasy,,Passing,,,,,,Rushing,,
Name,Team,G,Pts,Pts/G,COMP,ATT,YDS,TD,INT,YPA,ATT,YDS,TD
Cole Kelley,,13,577.3,44.4,406,552,5124,44,10,9.28,161,491,16
Bailey Zappe,Western Kentucky,14,566.1,40.4,475,687,5967,62,11,8.69,51,17,3
Eric Barriere,Eastern Washington,13,483.7,37.2,361,552,5070,46,8,9.18,89,222,4
Sam Hartman,Wake Forest,14,470.0,33.6,299,508,4228,39,14,8.32,117,363,11
Bryce Young,Alabama,15,449.6,30.0,366,547,4872,47,7,8.91,81,0,3
Malik Cunningham,Louisville,13,447.4,34.4,209,337,2941,19,6,8.73,173,1034,20
Kenny Pickett,Pittsburgh,13,438.1,33.7,334,497,4319,42,7,8.69,97,241,5
Cam Ward,,13,432.9,33.3,384,590,4648,47,10,7.88,74,65,1
Brennan Armstrong,Virginia,11,427.4,38.9,326,500,4449,31,10,8.90,98,251,9
Malik Willis,Liberty,13,418.0,32.2,207,339,2857,27,12,8.43,197,878,13
Sam Howell,North Carolina,12,397.6,33.1,217,347,3056,24,9,8.81,183,828,11
C.J. Stroud,Ohio State,12,395.8,33.0,317,441,4435,44,6,10.06,32,-20,0
Dustin Crum,Kent,14,381.7,27.3,244,381,3187,20,6,8.36,161,703,12
Matt Corral,Mississippi,13,376.8,29.0,262,386,3349,20,5,8.68,152,614,11
Will Rogers,Mississippi State,13,370.9,28.5,505,683,4739,36,9,6.94,62,-97,0
Tanner Mordecai,SMU,12,369.6,30.8,308,454,3628,39,12,7.99,74,202,2
Frank Harris,UTSA,14,369.1,26.4,263,398,3177,27,6,7.98,109,566,6
Ren Hefley,,11,367.4,33.4,351,562,3933,39,31,7.00,97,27,2
Desmond Ridder,Cincinnati,14,365.0,26.1,251,387,3334,30,8,8.61,110,355,6
Hendon Hooker,Tennessee,13,362.5,27.9,206,303,2945,31,3,9.72,166,612,5
Jason Shelley,Missouri State,12,358.9,29.9,235,400,3347,22,9,8.37,155,442,10
Jake Haener,Fresno State,13,354.5,27.3,329,490,4096,33,9,8.36,71,5,3
Anthony Brown,Oregon,14,341.3,24.4,250,390,2989,18,7,7.66,151,658,9
EJ Perry,,10,338.3,33.8,295,444,3033,23,14,6.83,111,402,7
Logan Bonner,Utah State,14,332.0,23.7,263,429,3628,36,12,8.46,69,66,0
Carson Strong,Nevada,12,332.0,27.7,366,523,4175,36,8,7.98,51,-208,0
