,,,Week-By-Week Targets,,,,,,,,,,,,,,,,,,,,Averages,,,Receiving Totals,,,
Rank,Name,Team,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TAR/G,YDS/TAR,TM TAR %,TAR,REC,YDS,TD
1,Jerreth Sterns,WestKy,0,8,11,0,10,21,24,16,20,12,15,7,15,11,13,0,18,0,0,0,14.4,9.5,29.1,201,150,1902,17
2,Deven Thompkins,UtahSt,0,11,11,15,9,15,0,15,11,10,12,12,10,8,12,0,11,0,0,0,11.6,10.5,32.6,162,102,1704,10
3,Josh Downs,UNC,0,11,11,9,14,13,15,14,0,12,8,11,11,12,0,0,0,0,7,0,11.4,9.0,39.9,148,101,1335,8
4,Jahan Dotson,PSU,0,11,7,12,7,12,17,0,14,16,15,16,8,11,0,0,0,0,0,0,12.2,8.1,30.4,146,91,1182,12
5,Jordan Addison,Pitt,0,8,10,7,6,9,0,8,7,11,12,11,19,13,14,0,0,0,10,0,10.4,11.0,27.4,145,100,1593,17
6,Makai Polk,MissSt,0,10,10,14,10,15,0,15,8,6,13,11,9,14,0,0,0,0,9,0,11.1,7.3,20.7,144,105,1046,9
7,Wan'Dale Robinson,Kty,0,7,11,13,7,6,10,18,0,13,18,7,10,11,0,0,0,0,13,0,11.1,9.3,39.8,144,104,1334,7
8,Nathaniel Dell,Hou,0,10,10,9,7,8,5,0,11,11,10,8,12,9,13,0,0,0,13,0,9.7,9.8,30.5,136,90,1329,12
9,Jalen Tolbert,USA,0,6,13,7,0,10,7,18,15,15,7,12,13,13,0,0,0,0,0,0,11.3,10.8,34.3,136,82,1474,8
10,Skyy Moore,WestMi,0,4,0,13,10,15,14,10,13,0,15,4,14,15,0,0,0,8,0,0,11.3,9.6,37.2,135,95,1292,10
11,A.T. Perry,Wake,0,5,2,10,6,6,7,0,9,10,15,21,8,7,14,0,0,0,15,0,9.6,9.6,26.8,135,71,1293,15
12,David Bell,Purdue,0,12,7,10,0,11,0,12,10,14,16,17,16,9,0,0,0,0,0,0,12.2,9.6,23.9,134,93,1286,6
13,John Metchie,Ala,0,7,7,9,7,4,13,8,13,0,13,6,14,24,8,0,0,0,0,0,10.2,8.6,23.5,133,96,1142,8
14,Hassan Beydoun,EastMi,0,3,2,10,6,17,8,15,5,0,12,16,9,12,0,0,15,0,0,0,10.0,7.8,29.1,130,97,1015,4
15,Josh Johnson,Tulsa,0,8,3,11,11,8,12,15,0,4,10,11,14,13,0,0,10,0,0,0,10.0,8.6,32.9,130,83,1114,6
16,Stanley Berryhill,Ari,0,13,10,17,11,0,9,14,9,7,8,7,11,11,0,0,0,0,0,0,10.6,5.9,29.1,127,83,744,1
17,Calvin Austin,Mem,0,10,9,10,12,15,19,2,14,0,14,3,9,10,0,0,0,0,0,0,10.6,9.0,29.7,127,74,1149,8
18,Mitchell Tinsley,WestKy,0,5,6,0,5,8,9,5,7,9,7,11,10,16,18,0,10,0,0,0,9.0,11.1,18.2,126,87,1402,14
19,Dante Cephas,KentSt,0,7,6,5,12,9,18,8,11,0,9,8,2,11,11,0,0,8,0,0,8.9,9.9,31.6,125,82,1240,9
20,Zakhari Franklin,Tx-SA,0,16,4,12,10,0,11,5,7,0,13,8,10,6,10,0,0,13,0,0,9.6,8.2,29.2,125,81,1027,12
21,Drake London,USC,0,16,10,18,14,14,20,0,19,13,0,0,0,0,0,0,0,0,0,0,15.5,8.7,25.4,124,88,1084,7
22,Jack Sorenson,Mia-O,0,7,12,6,3,12,10,6,9,0,22,8,6,13,0,0,0,10,0,0,9.5,11.3,29.4,124,76,1406,10
23,Charleston Rambo,Mia-Fl,0,8,9,18,3,8,0,8,9,12,10,11,11,15,0,0,0,0,0,0,10.2,9.6,27.2,122,79,1172,7
24,Jalen Moreno-Cropper,Fres,5,11,5,16,12,14,0,8,8,9,6,6,0,9,0,0,11,0,0,0,9.2,7.5,23.9,120,85,899,11
25,Tay Martin,OkSt,0,10,1,0,12,8,0,10,5,6,10,7,13,12,12,0,0,0,14,0,9.2,8.7,27.5,120,80,1046,10
26,Jameson Williams,Ala,0,6,6,7,2,6,13,3,12,0,14,7,13,6,10,0,0,0,9,4,7.9,13.3,20.8,118,79,1572,15
27,Khalil Shakir,Boise,0,8,8,13,9,7,8,6,0,13,11,14,10,9,0,0,0,0,0,0,9.7,9.6,29.6,116,77,1117,7
28,Keytaon Thompson,UVa,0,6,7,7,3,10,15,7,12,10,0,13,14,11,0,0,0,0,0,0,9.6,8.6,21.1,115,78,990,2
29,Jacob Cowing,UTEP,5,7,10,0,11,7,5,11,0,12,8,7,14,8,0,0,10,0,0,0,8.8,11.8,32.3,115,69,1354,7
30,Ryan O'Keefe,UCF,0,8,11,6,0,3,13,8,8,8,13,9,11,7,0,0,0,9,0,0,8.8,7.1,30.6,114,84,812,7
31,Corey Gammage,Marsh,0,11,8,13,7,11,9,7,0,4,7,12,5,11,0,0,9,0,0,0,8.8,7.7,23.6,114,78,878,2
32,Romeo Doubs,Nevada,0,8,7,7,0,9,0,10,21,5,9,13,17,7,0,0,0,0,0,0,10.3,9.8,20.2,113,80,1109,11
33,Jaxon Smith-Njigba,OhioSt,0,2,11,3,6,6,6,0,6,7,17,10,10,12,0,0,0,0,16,0,8.6,14.3,23.0,112,95,1606,9
34,Jaquarii Roberson,Wake,0,10,5,4,7,11,10,0,10,7,11,2,12,7,15,0,0,0,0,0,8.5,9.7,22.0,111,71,1078,8
35,Jayshon Jackson,BallSt,0,4,8,12,5,4,7,6,11,0,3,5,12,16,0,0,0,18,0,0,8.5,7.5,26.1,111,69,830,5
36,Jake Bobo,Duke,0,10,10,15,9,7,7,10,0,5,12,4,14,6,0,0,0,0,0,0,9.1,7.3,27.0,109,74,794,1
37,Xavier Hutchinson,IaSt,0,8,9,11,7,7,0,3,13,8,9,9,12,11,0,0,0,0,1,0,8.3,9.1,24.6,108,83,987,5
38,Tyquan Thornton,Baylor,0,10,8,4,4,8,13,9,0,8,8,7,8,8,9,0,0,0,4,0,7.7,8.8,29.8,108,62,948,10
39,Travell Harris,WashSt,0,8,6,9,8,8,14,7,10,6,0,11,10,5,0,0,0,0,5,0,8.2,7.6,23.7,107,76,814,9
40,Dylan Drummond,EastMi,0,6,4,7,8,8,11,9,7,0,10,13,2,10,0,0,12,0,0,0,8.2,6.6,24.0,107,64,704,6
41,Corey Rucker,ArkSt,0,10,16,7,8,9,7,0,7,9,6,9,10,9,0,0,0,0,0,0,8.9,7.7,20.9,107,59,826,9
42,Kalil Pimpleton,CentMi,0,12,3,7,13,9,9,13,7,0,8,5,8,8,0,0,0,0,4,0,8.2,9.1,24.7,106,62,960,4
43,Grant DuBose,CHAR,0,5,2,9,14,5,6,0,10,8,9,9,12,16,0,0,0,0,0,0,8.8,8.5,27.1,105,62,892,6
44,Jayden Reed,MSU,0,7,5,6,5,5,6,7,0,12,10,11,10,10,0,0,0,0,11,0,8.1,9.8,26.6,105,59,1026,10
45,Roderic Burns,NorTx,0,9,18,8,8,0,7,7,10,8,5,11,3,4,0,0,0,7,0,0,8.1,7.6,27.2,105,58,802,4
46,Calvin Jackson,WashSt,0,9,4,11,4,10,12,10,8,10,0,10,4,7,0,0,0,0,5,0,8.0,9.5,23.1,104,66,987,7
47,Xavier Worthy,Tex,0,2,4,9,6,6,11,9,0,7,7,23,11,9,0,0,0,0,0,0,8.7,9.4,30.4,104,62,981,12
48,Malachi Corley,WestKy,0,6,9,0,12,10,3,11,7,6,11,9,5,4,8,0,2,0,0,0,7.4,6.7,14.9,103,73,691,7
49,Garrett Wilson,OhioSt,0,11,14,9,6,3,6,0,8,10,0,11,9,16,0,0,0,0,0,0,9.4,10.3,21.1,103,70,1058,12
50,Jaivon Heiligh,CoastC,0,7,7,7,5,3,7,0,10,10,4,6,14,11,0,0,12,0,0,0,7.9,11.0,32.2,103,66,1128,7
51,Chris Olave,OhioSt,0,6,17,4,3,6,10,0,4,9,11,13,7,13,0,0,0,0,0,0,8.6,9.1,21.1,103,65,936,13
52,Billy Kemp,UVa,0,6,6,11,10,11,13,12,12,5,0,4,3,9,0,0,0,0,0,0,8.5,7.1,18.8,102,74,725,6
53,Ali Jennings,ODU,0,6,3,3,9,5,2,19,0,8,14,6,7,12,0,0,8,0,0,0,7.8,10.5,24.6,102,62,1066,5
54,Quian Williams,Buff,0,7,10,4,10,8,14,7,5,12,0,11,4,9,0,0,0,0,0,0,8.4,8.3,27.7,101,64,835,2
55,Ty Fryfogle,Ind,0,8,8,8,17,11,0,11,2,9,2,14,3,8,0,0,0,0,0,0,8.4,5.1,27.1,101,46,512,1
56,Dontario Drummond,Miss,0,10,10,8,0,6,2,5,9,6,0,8,10,15,0,0,0,0,11,0,8.3,10.3,23.6,100,76,1028,8
57,Tyler Snead,ECU,0,7,6,8,6,7,11,0,10,6,6,17,6,10,0,0,0,0,0,0,8.3,8.6,24.0,100,67,855,4
58,Konata Mumpfield,Akron,0,5,9,6,10,6,7,14,8,0,7,16,6,6,0,0,0,0,0,0,8.3,7.5,28.2,100,63,751,8
59,Corey Sutton,App,0,6,13,7,17,6,0,6,6,9,6,5,6,8,5,0,0,0,0,0,7.7,9.0,24.4,100,61,904,7
60,Chris Pierce,Vandy,0,6,8,14,6,11,11,4,4,7,0,6,17,6,0,0,0,0,0,0,8.3,6.5,24.8,100,57,654,2
61,Tez Johnson,Troy,0,6,3,14,7,7,9,11,0,11,6,13,7,5,0,0,0,0,0,0,8.3,7.4,23.8,99,67,735,4
62,Smoke Harris,LaTech,0,7,5,12,9,8,0,7,8,10,12,8,5,7,0,0,0,0,0,0,8.2,7.7,24.7,98,71,756,6
63,Kyle Philips,UCLA,3,4,0,11,6,9,6,0,16,15,0,9,10,7,0,0,0,0,0,0,8.7,7.7,29.3,96,59,739,10
64,Austin Osborne,BGSU,0,11,9,7,6,9,6,11,9,2,0,9,6,10,0,0,0,0,0,0,7.9,5.7,24.1,95,64,546,2
65,Emeka Emezie,NCSU,0,6,8,4,17,8,0,6,5,10,4,15,3,9,0,0,0,0,0,0,7.9,8.4,21.6,95,60,802,6
66,Dontayvion Wicks,UVa,0,8,5,8,13,6,1,9,11,7,0,6,13,8,0,0,0,0,0,0,7.9,12.7,17.5,95,57,1203,9
67,Bo Melton,Rut,0,7,13,8,8,2,0,13,0,10,10,6,11,7,0,0,0,0,0,0,8.6,6.5,24.2,95,55,618,3
68,Joshua Cephus,Tx-SA,0,10,7,12,6,8,10,5,2,0,4,10,7,3,5,0,0,5,0,0,6.7,8.7,22.0,94,71,819,6
69,Lajohntay Wester,FlaAtl,0,7,8,13,8,2,9,0,2,8,8,4,8,17,0,0,0,0,0,0,7.8,7.5,25.4,94,65,702,4
70,Justin Garrett,UTEP,7,6,4,0,8,7,3,7,0,13,7,11,9,9,0,0,3,0,0,0,7.2,7.3,26.4,94,50,685,4
71,Nick Mardner,Hawaii,6,4,10,11,7,10,0,4,4,9,5,8,11,5,0,0,0,0,0,0,7.2,9.7,20.7,94,46,913,5
72,Mac Hippenhammer,Mia-O,0,7,5,2,9,11,13,4,7,0,9,7,4,15,0,0,0,0,0,0,7.8,8.5,22.0,93,48,786,5
73,Treylon Burks,Ark,0,9,6,7,9,7,9,10,4,0,8,7,9,7,0,0,0,0,0,0,7.7,12.0,29.2,92,66,1104,11
74,Tahj Washington,USC,0,7,8,7,6,5,6,0,3,10,15,0,12,7,6,0,0,0,0,0,7.7,6.5,18.9,92,54,602,1
75,Parker Washington,PSU,0,6,7,9,5,5,5,0,7,10,8,5,11,5,0,0,0,0,8,0,7.0,9.0,19.0,91,64,820,4
76,Yo'Heinz Tyler,BallSt,0,8,3,5,4,10,7,7,10,0,8,8,9,5,0,0,0,7,0,0,7.0,5.4,21.4,91,49,487,6
77,Cedric Tillman,Tenn,0,6,3,2,3,6,7,9,8,0,8,12,5,11,0,0,0,0,10,0,6.9,12.0,24.1,90,64,1081,12
78,Rakim Jarrett,MD,0,7,8,8,3,8,4,0,4,8,6,14,2,12,0,0,0,0,6,0,6.9,9.2,19.0,90,62,829,5
79,Derek Wright,UtahSt,0,9,6,3,2,10,0,7,2,7,5,7,10,6,10,0,6,0,0,0,6.4,8.8,18.1,90,48,789,11
80,Winston Wright,WVU,0,11,3,3,10,9,8,0,6,9,3,11,6,4,0,0,0,0,6,0,6.8,7.7,20.0,89,63,688,5
81,Te'Vailance Hunt,ArkSt,0,10,13,8,4,6,11,0,5,6,7,11,8,0,0,0,0,0,0,0,8.1,8.3,17.4,89,51,740,6
82,Will Sheppard,Vandy,0,18,6,13,2,13,9,8,2,5,0,0,5,8,0,0,0,0,0,0,8.1,6.5,22.1,89,43,577,4
83,Jake Bailey,Rice,0,8,6,4,10,6,0,6,6,14,10,10,8,0,0,0,0,0,0,0,8.0,8.1,26.3,88,56,714,2
84,Jesse Matthews,SDSU,0,4,1,3,2,0,4,10,5,4,2,5,9,12,11,0,0,14,0,0,6.1,7.5,24.8,86,57,642,9
85,Trayvon Rudolph,NIU,0,1,4,3,4,2,4,3,6,0,21,13,5,8,5,0,7,0,0,0,6.1,10.4,24.4,86,51,892,7
86,Thomas Hennigan,App,0,5,3,5,10,6,0,4,4,6,6,8,7,5,8,0,8,0,0,0,6.1,9.7,20.7,85,60,823,6
87,Alec Pierce,Cin,0,3,3,8,0,8,8,3,9,4,8,6,5,10,5,0,0,0,5,0,6.1,10.4,21.7,85,52,884,8
88,JuanCarlos Santana,Tulsa,0,3,6,15,5,2,2,7,0,9,7,2,9,8,0,0,10,0,0,0,6.5,8.1,21.5,85,51,689,3
89,Brennan Presley,OkSt,0,7,10,3,4,3,0,4,9,3,9,7,0,6,5,0,0,0,15,0,6.1,7.3,19.5,85,50,619,5
90,Isaiah Neyor,Wyo,0,5,8,7,5,0,9,9,6,9,3,9,6,4,0,0,0,5,0,0,6.5,10.3,29.7,85,44,878,12
91,Justin Hall,BallSt,0,11,11,7,7,7,4,13,6,0,10,5,0,3,0,0,0,0,0,0,7.6,7.3,19.8,84,61,613,5
92,Kwamie Lassiter,Kansas,0,4,11,5,5,4,0,6,9,2,8,12,9,9,0,0,0,0,0,0,7.0,7.8,26.9,84,59,653,3
93,Josh Kelly,Fres,5,8,3,9,4,9,0,2,8,12,7,7,0,3,0,0,7,0,0,0,6.5,9.3,16.7,84,52,778,3
94,Velus Jones,Tenn,0,1,4,3,6,8,7,8,4,0,6,11,6,3,0,0,0,0,16,0,6.4,9.7,22.2,83,62,807,7
95,Mike Harley,Mia-Fl,0,4,9,9,5,8,0,8,3,6,3,8,5,15,0,0,0,0,0,0,6.9,6.5,18.5,83,57,543,5
96,Jaden Walley,MissSt,0,5,8,8,3,5,0,8,7,6,5,8,4,8,0,0,0,0,8,0,6.4,7.6,11.9,83,55,628,6
97,Kevin Austin,ND,0,7,8,8,9,4,4,0,6,4,6,4,2,8,0,0,0,0,13,0,6.4,10.7,18.7,83,48,888,7
98,Isaiah Williams,Ill,8,18,8,7,5,4,12,0,5,4,2,0,3,7,0,0,0,0,0,0,6.9,6.3,26.3,83,47,525,4
99,Jason Brownlee,SouMis,0,4,9,7,4,15,4,2,0,15,6,5,7,5,0,0,0,0,0,0,6.9,7.7,30.1,83,46,643,8
100,Zay Flowers,BC,0,9,3,2,10,10,0,8,9,12,7,4,5,4,0,0,0,0,0,0,6.9,9.0,27.9,83,44,746,5
101,Jalen Wayne,USA,0,4,6,8,0,8,6,7,6,7,5,9,3,12,0,0,0,0,0,0,6.8,7.8,20.5,81,53,630,2
102,Ainias Smith,TexA&M,0,9,7,3,4,8,11,3,5,0,7,11,2,11,0,0,0,0,0,0,6.8,6.3,22.3,81,47,509,6
103,Xavier Weaver,USF,0,10,4,9,10,6,0,6,0,9,11,8,0,8,0,0,0,0,0,0,6.8,8.8,24.1,81,41,715,2
104,Milton Wright,Purdue,0,2,3,8,11,7,0,4,3,9,7,9,10,7,0,0,0,0,0,0,6.7,9.2,14.3,80,57,732,7
105,De'Corian Clark,Tx-SA,0,1,4,7,0,9,7,5,4,0,7,6,8,6,6,0,0,10,0,0,5.7,9.4,18.7,80,52,755,7
106,JaCorey Sullivan,CentMi,0,13,5,6,7,8,0,0,8,0,3,9,3,5,0,0,0,0,13,0,7.3,8.6,18.6,80,49,687,10
107,Kobe Hudson,Auburn,0,4,3,6,7,8,6,3,0,7,5,11,0,7,0,0,0,0,13,0,6.7,7.3,18.0,80,44,580,4
108,Isaiah Garcia-Castaneda,NMSt,8,0,10,4,11,9,11,0,16,0,2,0,4,5,0,0,0,0,0,0,8.0,7.0,15.6,80,36,562,4
109,Rashee Rice,SMU,0,2,5,4,4,8,12,0,7,9,5,6,10,7,0,0,0,0,0,0,6.6,8.5,17.3,79,64,670,9
110,Michael Mathison,Akron,0,9,12,6,6,5,3,9,6,0,9,10,4,0,0,0,0,0,0,0,7.2,8.9,22.3,79,56,706,3
111,Jared Wyatt,NMSt,3,9,8,2,12,9,11,0,5,0,6,3,3,8,0,0,0,0,0,0,6.6,8.0,15.4,79,49,629,3
112,Samori Toure,Neb,5,11,6,4,6,4,5,7,0,6,6,0,11,8,0,0,0,0,0,0,6.6,11.4,23.2,79,46,898,5
113,Boogie Knight,UL-Mon,0,7,0,14,1,5,7,2,9,3,5,11,6,9,0,0,0,0,0,0,6.6,7.4,23.0,79,45,588,3
114,Tyrese Chambers,FIU,0,4,9,4,11,3,6,0,10,7,7,4,6,8,0,0,0,0,0,0,6.6,13.6,22.0,79,45,1074,9
115,Corey Crooms,WestMi,0,10,5,12,7,12,7,1,1,0,8,7,3,4,0,0,0,2,0,0,6.1,9.7,21.8,79,44,768,6
116,Brandon Bowling,UtahSt,0,3,6,13,6,6,0,4,5,3,4,3,8,4,8,0,5,0,0,0,5.6,10.7,15.7,78,56,835,10
117,Britain Covey,Utah,0,6,5,14,3,0,6,5,8,4,3,2,4,6,8,0,0,0,4,0,5.6,6.6,19.6,78,52,514,3
118,Malik Williams,App,0,4,5,4,6,7,0,8,14,3,7,4,3,4,6,0,3,0,0,0,5.6,10.5,19.0,78,52,819,7
119,Tre Turner,VaTech,0,6,6,7,10,0,11,11,5,12,0,4,6,0,0,0,0,0,0,0,7.1,8.7,25.7,78,40,675,3
120,Isaiah Winstead,Toledo,0,1,8,6,4,6,6,7,6,0,13,3,2,7,0,0,9,0,0,0,6.0,6.7,20.1,78,38,520,1
121,Erik Ezukanma,TxTch,0,10,10,7,10,0,4,7,3,9,0,5,9,3,0,0,0,0,0,0,7.0,9.2,20.3,77,48,705,4
122,Steve Jenkins,UNLV,0,4,4,1,8,6,0,3,7,15,6,5,12,6,0,0,0,0,0,0,6.4,9.1,24.5,77,47,700,4
123,Stephon Robinson,NW,0,6,6,6,4,13,0,12,3,0,9,7,7,4,0,0,0,0,0,0,7.0,8.1,21.5,77,46,625,2
124,Jalen Nailor,MSU,0,7,8,11,4,12,8,8,0,5,0,0,0,0,0,0,0,0,14,0,8.6,9.0,19.5,77,37,695,6
1517,Nykeim Johnson,Syr,0,5,5,9,7,8,3,7,8,0,3,6,0,4,3,0,0,8,0,0,0.0,0.0,0.0,0,0,0,0
126,Jaylen Hall,WestMi,0,8,10,5,6,1,5,7,11,0,8,4,6,5,0,0,0,0,0,0,6.3,9.9,20.9,76,46,752,3
127,Justyn Ross,Clem,0,8,5,9,14,2,0,10,8,8,9,3,0,0,0,0,0,0,0,0,7.6,6.8,19.3,76,46,514,3
128,De'zhaun Stribling,WashSt,0,6,9,4,9,7,5,3,4,2,0,8,6,9,0,0,0,0,4,0,5.8,6.2,16.9,76,44,471,5
129,Khaleb Hood,GaSo,0,6,9,13,6,9,4,1,0,7,8,5,1,6,0,0,0,0,0,0,6.3,6.6,27.4,75,41,497,0
130,Reggie Roberson,SMU,0,3,7,7,5,7,5,0,4,7,6,10,4,9,0,0,0,0,0,0,6.2,8.4,16.2,74,51,625,6
131,Tayvion Robinson,VaTech,0,3,7,5,6,0,7,10,7,5,8,5,4,7,0,0,0,0,0,0,6.2,7.6,24.3,74,44,559,5
132,Jalon Calhoun,Duke,0,4,5,6,7,6,6,8,0,5,6,6,9,5,0,0,0,0,0,0,6.1,9.8,18.1,73,56,718,3
133,Keshunn Abram,KentSt,0,4,2,6,6,6,5,5,5,0,9,6,2,10,6,0,0,1,0,0,5.2,9.6,18.4,73,47,699,3
134,Dallas Dixon,CentMi,0,9,7,6,12,13,5,4,3,0,1,4,3,3,0,0,0,0,3,0,5.6,9.6,17.0,73,45,701,8
135,Gary Bryant,USC,0,0,5,3,8,2,9,0,3,5,13,0,14,11,0,0,0,0,0,0,7.3,7.9,15.0,73,44,579,7
136,Kyle Williams,UNLV,0,12,6,4,0,8,0,7,8,7,14,5,2,0,0,0,0,0,0,0,7.3,8.2,23.2,73,42,601,2
137,Danny Gray,SMU,0,5,9,9,6,9,6,0,11,8,6,3,0,0,0,0,0,0,0,0,7.2,11.2,15.8,72,49,803,9
138,Kaylon Geiger,TxTch,0,5,2,9,5,10,6,4,3,4,0,5,7,5,0,0,0,0,7,0,5.5,7.4,18.9,72,43,533,1
139,Josh Vann,SCar,0,2,7,8,4,4,3,8,5,0,9,6,6,10,0,0,0,0,0,0,5.5,9.4,20.6,72,43,679,5
140,Rome Odunze,Wash,0,0,0,0,4,4,0,8,4,11,4,14,15,8,0,0,0,0,0,0,8.0,5.8,18.0,72,41,415,4
141,Jose Barbon,Temple,0,5,2,5,11,11,7,0,2,4,6,3,9,7,0,0,0,0,0,0,6.0,6.1,20.3,72,40,440,2
142,Tory Horton,Nevada,0,4,4,4,0,0,4,3,8,9,6,11,14,4,0,0,0,0,0,0,5.9,9.3,12.7,71,52,659,5
143,Victor Tucker,CHAR,0,10,6,7,7,5,8,0,7,5,1,5,0,10,0,0,0,0,0,0,6.5,9.0,18.3,71,51,639,2
144,Cornelius Johnson,Mich,0,3,1,5,2,7,8,0,6,9,10,6,6,3,3,0,0,0,2,0,5.1,8.8,18.0,71,40,627,3
145,Jeff Foreman,ArkSt,0,7,11,8,5,10,4,0,5,4,2,7,4,4,0,0,0,0,0,0,5.9,7.8,13.9,71,31,556,2
146,Jackson Anthrop,Purdue,0,9,2,9,4,2,0,3,2,7,7,9,5,4,0,0,0,0,7,0,5.4,8.1,12.5,70,53,570,5
147,Elijah Higgins,Stan,0,3,6,5,8,9,12,10,0,6,0,0,6,5,0,0,0,0,0,0,7.0,7.1,19.0,70,45,500,4
148,Jack Bech,LSU,0,2,4,9,3,10,10,3,7,0,7,7,6,2,0,0,0,0,0,0,5.4,7.0,15.9,70,43,489,3
1566,Cedric Patterson,NM,0,5,3,3,4,4,0,5,4,8,7,11,6,10,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
150,Ricky Pearsall,AriSt,0,2,4,6,3,5,5,3,0,11,8,4,6,6,0,0,0,0,6,0,5.3,8.4,22.1,69,48,580,4
151,Tyrice Richie,NIU,0,4,12,4,10,10,10,2,13,0,4,0,0,0,0,0,0,0,0,0,7.7,7.8,19.6,69,44,540,1
152,Marcell Barbee,TxSt,0,7,12,8,5,0,5,4,5,3,10,6,4,0,0,0,0,0,0,0,5.8,7.5,18.5,69,40,520,5
153,Kekoa Crawford,Cal,0,3,3,0,10,8,0,12,1,3,9,0,6,10,4,0,0,0,0,0,6.3,7.4,18.2,69,40,513,0
154,Terrell Warner,NMSt,1,15,8,0,3,1,12,0,6,0,7,5,3,8,0,0,0,0,0,0,5.8,4.8,13.4,69,38,334,1
155,Tyrone Broden,BGSU,0,0,4,10,8,8,8,4,6,5,0,3,10,3,0,0,0,0,0,0,6.3,8.6,17.5,69,36,596,5
156,Melquan Stovall,Nevada,0,1,5,11,0,3,7,8,2,10,10,6,1,4,0,0,0,0,0,0,5.7,9.5,12.2,68,56,643,1
