TAR/G,YDS/TAR,TM TAR %,TAR,REC,YDS,TD,Probability_Success,Name
10.0,12.1,31.9,130,89,1569,14,0.2484088534865758,Malik Nabers
9.4,11.6,25.6,141,92,1640,13,0.18054954047606328,Rome Odunze
8.8,12.0,22.2,115,81,1383,14,0.14601180028569108,Troy Franklin
9.8,10.4,29.5,117,67,1211,14,0.13321131983967108,Marvin Harrison
6.8,13.2,21.8,89,68,1177,17,0.12216323029703526,Brian Thomas
10.1,10.7,28.5,131,90,1402,10,0.08074508751245749,Tetairoa McMillan
9.9,10.7,34.8,139,88,1483,8,0.07055318872754365,Ricky White
11.9,10.0,37.4,143,110,1426,9,0.06490927445405237,Malik Washington
7.8,10.6,24.1,102,71,1080,15,0.060009907602086306,Jalen Royals
8.1,12.9,24.4,97,71,1255,7,0.05645101201869991,Xavier Legette
10.2,10.8,29.5,122,91,1316,7,0.04822675344319783,Caullin Lacy
8.3,10.1,21.8,99,57,1004,11,0.046882276859380116,Ja'Mori Maclin
7.0,12.5,25.5,91,52,1139,7,0.04403648934197089,Javon Baker
1.4,54.3,30.3,20,57,1086,13,0.04331466333716884,Brevin Easton
7.8,11.1,29.5,93,48,1033,7,0.038557950671039794,Kelly Akharaiyi
9.0,10.4,29.4,108,64,1118,7,0.03827881534452625,Kris Mitchell
6.8,11.8,21.2,89,53,1054,9,0.03804701057692911,Reggie Brown
6.2,12.3,29.6,87,55,1067,10,0.037148703375544954,CJ Daniels
10.0,9.7,25.0,90,47,873,5,0.035266273437444276,Eric McAlister
9.4,9.9,33.5,122,86,1212,9,0.03427031465488808,Luther Burden
9.5,8.0,29.2,124,71,992,13,0.03200938244972941,Luke McCaffrey
7.8,10.6,23.6,93,54,985,8,0.030708696136124543,Tre Harris
5.9,13.8,17.2,77,59,1062,8,0.029374501670149402,Tahj Washington
7.8,11.7,24.3,102,82,1191,8,0.029261386111425328,Elijah Sarratt
9.0,9.7,15.9,72,41,699,7,0.028321473047027604,Devontez Walker
7.4,10.4,20.1,111,69,1159,9,0.027904898191715356,Ja'Lynn Polk
9.6,9.2,29.3,125,89,1151,10,0.02750726907039539,Joshua Cephus
7.7,10.9,20.8,108,86,1182,10,0.02741837900709393,Tez Johnson
8.0,9.8,19.7,104,63,1024,9,0.026660377643941493,Steven McBride
5.8,11.3,15.6,70,45,791,12,0.025420465381473193,Brenden Rice
9.4,8.7,20.9,113,79,984,11,0.024970231792037327,Malachi Corley
11.3,8.4,27.6,136,96,1136,8,0.02235122593748807,Tory Horton
9.3,9.0,26.9,112,62,1013,6,0.022261193756828845,Elic Ayomanor
6.2,11.1,22.7,81,44,900,8,0.02126415035050844,Kobe Hudson
4.8,12.9,13.9,62,38,798,10,0.020679771571005503,Nic Anderson
12.7,7.7,37.4,152,108,1168,8,0.02013716685803232,Lajohntay Wester
8.0,9.6,19.2,96,61,923,8,0.01938889388399916,Josh Kelly
6.5,11.7,22.4,84,53,983,6,0.01909249365372574,Jayden Higgins
8.6,9.2,27.7,112,72,1027,8,0.01865900103782992,Sam Pinckney
1.0,82.2,22.9,11,61,904,14,0.016677997646360576,Isaiah Wooden
5.5,13.0,16.1,66,47,858,7,0.016453182995348987,Tejhaun Palmer
6.6,9.2,19.7,92,55,845,11,0.016231200920546994,Adonai Mitchell
